sex,age,juv_misd_count,priors_count,age_cat_25_45,age_cat_Greaterthan45,age_cat_Lessthan25,race_African_American,race_Caucasian,c_charge_degree_F,c_charge_degree_M,twoyearrecid
1,27,0,1,1,0,0,1,0,1,0,0
1,23,0,2,0,0,1,1,0,1,0,0
0,61,0,0,0,1,0,0,1,0,1,0
1,26,0,5,1,0,0,0,1,0,1,0
0,20,0,0,0,0,1,1,0,0,1,0
0,59,0,2,0,1,0,0,1,1,0,0
1,27,0,2,1,0,0,1,0,1,0,0
0,42,0,0,1,0,0,0,1,1,0,0
0,26,0,0,1,0,0,0,1,0,1,0
1,34,0,3,1,0,0,0,1,0,1,0
0,51,0,4,0,1,0,0,1,1,0,0
1,48,0,10,0,1,0,1,0,1,0,0
1,38,0,4,1,0,0,1,0,0,1,0
1,41,0,0,1,0,0,1,0,0,1,0
1,53,0,13,0,1,0,1,0,1,0,0
1,27,0,2,1,0,0,1,0,1,0,0
1,27,0,3,1,0,0,1,0,1,0,0
1,41,0,1,1,0,0,0,1,1,0,0
0,30,0,3,1,0,0,0,1,1,0,0
0,45,0,2,0,1,0,1,0,1,0,0
1,56,0,3,0,1,0,0,1,0,1,0
0,67,0,0,0,1,0,0,1,0,1,0
1,32,0,0,1,0,0,1,0,0,1,0
1,22,0,4,0,0,1,1,0,0,1,0
1,44,0,1,1,0,0,1,0,0,1,0
1,23,0,2,0,0,1,0,1,1,0,0
1,59,0,3,0,1,0,1,0,1,0,0
1,36,0,1,1,0,0,1,0,0,1,0
1,51,0,2,0,1,0,1,0,0,1,0
1,22,0,0,0,0,1,1,0,1,0,0
0,24,0,0,0,0,1,1,0,0,1,0
1,24,0,0,0,0,1,1,0,1,0,0
1,24,0,0,0,0,1,1,0,1,0,0
1,36,0,2,1,0,0,0,1,0,1,0
1,26,0,0,1,0,0,0,1,0,1,0
1,69,0,0,0,1,0,0,1,1,0,0
1,26,0,0,1,0,0,0,1,1,0,0
1,67,0,0,0,1,0,0,1,0,1,0
1,35,0,4,1,0,0,0,1,0,1,0
0,33,0,1,1,0,0,0,1,0,1,0
