party_democrat,party_republican,handicapped_infants_u,handicapped_infants_n,handicapped_infants_y,water_project_cost_sharing_u,water_False_project_cost_sharing_n,water_project_cost_sharing_y,adoption_of_the_budget_resolution_u,adoption_of_the_budget_resolution_n,adoption_of_the_budget_resolution_y,physician_fee_freeze_u,physician_fee_freeze_n,physician_fee_freeze_y,el_salvador_aid_u,el_salvador_aid_n,el_salvador_aid_y,religious_groups_in_schools_u,religious_groups_in_schools_n,religious_groups_in_schools_y,anti_satellite_test_ban_u,anti_satellite_test_ban_n,anti_satellite_test_ban_y,aid_to_nicaraguan_contras_u,aid_to_nicaraguan_contras_n,aid_to_nicaraguan_contras_y,mx_missile_u,mx_missile_n,mx_missile_y,immigration_u,immigration_n,immigration_y,synfuels_corporation_cutback_u,synfuels_corporation_cutback_n,synfuels_corporation_cutback_y,education_spending_u,education_spending_n,education_spending_y,superfund_right_to_sue_u,superfund_right_to_sue_n,superfund_right_to_sue_y,crime_u,crime_n,crime_y,duty_free_exports_u,duty_free_exports_n,duty_free_exports_y,export_administration_act_south_africa_u,export_administration_act_south_africa_n,export_administration_act_south_africa_y
False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False
True,False,True,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True
True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True
True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True
True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True
False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True
False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True
True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False
False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False
False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,True,False,False
True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False
True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False
False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False
True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True
